"Presentation Grid: Direction [1,0,0] (m)","Presentation Grid: Temperature (K)"
0.0434,1414.0692138671875
0.043500000000000004,1413.247802734375
0.0436,1412.4747314453125
0.0437,1411.887939453125
0.043800000000000006,1411.294677734375
0.0439,1410.5628662109375
0.044000000000000004,1409.82080078125
0.0441,1409.224609375
0.0442,1408.4830322265625
0.044300000000000006,1407.8758544921875
0.0444,1407.3096923828125
0.044500000000000005,1406.60302734375
0.0446,1405.737060546875
0.044700000000000004,1405.0635986328125
0.044800000000000006,1404.3780517578125
0.0449,1403.623779296875
0.045000000000000005,1402.8206787109375
0.0451,1402.1944580078125
0.045200000000000004,1401.6358642578125
0.04530000000000001,1400.8883056640625
0.0454,1399.91259765625
0.045500000000000006,1399.4676513671875
0.0456,1398.8453369140625
0.045700000000000005,1398.1236572265625
0.04580000000000001,1397.488525390625
0.0459,1396.8533935546875
0.046000000000000006,1396.1597900390625
0.0461,1395.4354248046875
0.046200000000000005,1394.582275390625
0.04630000000000001,1393.7518310546875
0.046400000000000004,1392.9637451171875
0.04650000000000001,1392.2916259765625
0.0466,1391.581298828125
0.046700000000000005,1390.9073486328125
0.04680000000000001,1390.2510986328125
0.0469,1389.556640625
0.047,1388.7889404296875
0.0471,1388.0491943359375
0.0472,1387.314697265625
0.0473,1386.56787109375
0.0474,1386.0484619140625
0.0475,1385.4605712890625
0.0476,1384.7252197265625
0.0477,1384.001953125
0.0478,1383.3870849609375
0.0479,1382.6619873046875
0.048,1381.8831787109375
0.048100000000000004,1381.20068359375
0.0482,1380.53125
0.0483,1379.8699951171875
0.0484,1378.9246826171875
0.0485,1378.36328125
0.048600000000000004,1377.7071533203125
0.0487,1376.9071044921875
0.0488,1376.20947265625
0.0489,1375.589599609375
0.049,1374.9482421875
0.049100000000000005,1374.168701171875
0.0492,1373.3978271484375
0.049300000000000004,1372.7454833984375
0.0494,1372.0859375
0.0495,1371.3990478515625
0.049600000000000005,1370.676025390625
0.0497,1369.8466796875
0.049800000000000004,1369.250244140625
0.0499,1368.62890625
0.05,1367.9302978515625
0.050100000000000006,1367.284912109375
0.0502,1366.5655517578125
0.050300000000000004,1365.822265625
0.0504,1365.0625
0.0505,1364.35107421875
0.050600000000000006,1363.75
0.0507,1363.15234375
0.050800000000000005,1362.4114990234375
0.0509,1361.4248046875
0.051000000000000004,1360.87060546875
0.051100000000000007,1360.0640869140625
0.0512,1359.3629150390625
0.051300000000000005,1358.5665283203125
0.0514,1357.871337890625
0.051500000000000004,1357.041259765625
0.05160000000000001,1356.48095703125
0.0517,1355.600830078125
0.051800000000000006,1354.759765625
0.0519,1354.0306396484375
0.052000000000000005,1353.3629150390625
0.05210000000000001,1352.72705078125
0.0522,1351.825927734375
0.052300000000000006,1351.3094482421875
0.0524,1350.6536865234375
0.052500000000000005,1349.9105224609375
0.05260000000000001,1349.10791015625
0.052700000000000004,1348.47900390625
0.05280000000000001,1347.883544921875
0.0529,1347.1964111328125
0.053000000000000005,1346.476806640625
0.05310000000000001,1345.83349609375
0.053200000000000004,1345.1741943359375
0.05330000000000001,1344.407958984375
0.0534,1343.6640625
0.053500000000000006,1342.9906005859375
0.05360000000000001,1342.254638671875
0.053700000000000005,1341.3526611328125
0.05380000000000001,1340.6412353515625
0.0539,1340.0406494140625
0.054000000000000006,1339.380126953125
0.05410000000000001,1338.6400146484375
0.054200000000000005,1337.921142578125
0.05430000000000001,1337.2938232421875
0.054400000000000004,1336.6427001953125
0.05450000000000001,1335.93798828125
0.05460000000000001,1335.00146484375
0.054700000000000006,1334.345703125
0.05480000000000001,1333.60791015625
0.054900000000000004,1332.95751953125
0.05500000000000001,1332.2923583984375
0.05510000000000001,1331.2958984375
0.055200000000000006,1330.6514892578125
0.05530000000000001,1329.955322265625
0.055400000000000005,1329.2379150390625
0.05550000000000001,1328.5244140625
0.05560000000000001,1327.9132080078125
0.055700000000000006,1327.0924072265625
0.05580000000000001,1326.499267578125
0.055900000000000005,1325.715087890625
0.05600000000000001,1324.9105224609375
0.05610000000000001,1324.34228515625
0.05620000000000001,1323.7254638671875
0.056299999999999996,1322.9034423828125
0.0434,1414.0692138671875
0.043500000000000004,1413.247802734375
0.0436,1412.4747314453125
0.0437,1411.887939453125
0.043800000000000006,1411.294677734375
0.0439,1410.5628662109375
0.044000000000000004,1409.82080078125
0.0441,1409.224609375
0.0442,1408.4830322265625
0.044300000000000006,1407.8758544921875
0.0444,1407.3096923828125
0.044500000000000005,1406.60302734375
0.0446,1405.737060546875
0.044700000000000004,1405.0635986328125
0.044800000000000006,1404.3780517578125
0.0449,1403.623779296875
0.045000000000000005,1402.8206787109375
0.0451,1402.1944580078125
0.045200000000000004,1401.6358642578125
0.04530000000000001,1400.8883056640625
0.0454,1399.91259765625
0.045500000000000006,1399.4676513671875
0.0456,1398.8453369140625
0.045700000000000005,1398.1236572265625
0.04580000000000001,1397.488525390625
0.0459,1396.8533935546875
0.046000000000000006,1396.1597900390625
0.0461,1395.4354248046875
0.046200000000000005,1394.582275390625
0.04630000000000001,1393.7518310546875
0.046400000000000004,1392.9637451171875
0.04650000000000001,1392.2916259765625
0.0466,1391.581298828125
0.046700000000000005,1390.9073486328125
0.04680000000000001,1390.2510986328125
0.0469,1389.556640625
0.047,1388.7889404296875
0.0471,1388.0491943359375
0.0472,1387.314697265625
0.0473,1386.56787109375
0.0474,1386.0484619140625
0.0475,1385.4605712890625
0.0476,1384.7252197265625
0.0477,1384.001953125
0.0478,1383.3870849609375
0.0479,1382.6619873046875
0.048,1381.8831787109375
