"Presentation Grid: Direction [1,0,0] (m)","Presentation Grid: Velocity: Magnitude (m/s)"
0.0434,33.35744096487846
0.043500000000000004,33.322750092116934
0.0436,33.294773171011265
0.0437,33.27932740591458
0.043800000000000006,33.272979762927726
0.0439,33.256515753113774
0.044000000000000004,33.22066880751236
0.0441,33.213462853216285
0.0442,33.19507603034446
0.044300000000000006,33.17979055374021
0.0444,33.1774940945844
0.044500000000000005,33.16582873544715
0.0446,33.14366533575311
0.044700000000000004,33.129947766875866
0.044800000000000006,33.10438923933961
0.0449,33.086182174600815
0.045000000000000005,33.06025737619113
0.0451,33.04865299404894
0.045200000000000004,33.02172088795434
0.04530000000000001,33.00597763566753
0.0454,32.971245145290176
0.045500000000000006,32.97433125446102
0.0456,32.94903564539503
0.045700000000000005,32.93939230302624
0.04580000000000001,32.92653281672332
0.0459,32.914955156962606
0.046000000000000006,32.903137402089506
0.0461,32.879696026624174
0.046200000000000005,32.85450383917779
0.04630000000000001,32.827995745047694
0.046400000000000004,32.790588590174906
0.04650000000000001,32.768795233187525
0.0466,32.74969169302754
0.046700000000000005,32.73770971989103
0.04680000000000001,32.71936829724344
0.0469,32.702564632397994
0.047,32.682026585579294
0.0471,32.65624273304418
0.0472,32.63445322675152
0.0473,32.608989802617856
0.0474,32.5986023093473
0.0475,32.58647546085331
0.0476,32.568477809761724
0.0477,32.55065918191366
0.0478,32.540473985314655
0.0479,32.5227241623986
0.048,32.493373912169204
0.048100000000000004,32.47960663919716
0.0482,32.46921924634511
0.0483,32.45503620914274
0.0484,32.413753519431836
0.0485,32.40848171226425
0.048600000000000004,32.3945581854877
0.0487,32.36755003556488
0.0488,32.35271492371873
0.0489,32.34327328875008
0.049,32.33462160112313
0.049100000000000005,32.31684538791362
0.0492,32.28914652488504
0.049300000000000004,32.27241900917744
0.0494,32.25910187544061
0.0495,32.24516296459683
0.049600000000000005,32.22670370656786
0.0497,32.198204045895096
0.049800000000000004,32.20299936613847
0.0499,32.17190555315174
0.05,32.155571032598715
0.050100000000000006,32.15547967457349
0.0502,32.144631453879484
0.050300000000000004,32.12197163830937
0.0504,32.10220378590243
0.0505,32.08389675287912
0.050600000000000006,32.079853236134184
0.0507,32.05261612523742
0.050800000000000005,32.036830902138874
0.0509,32.005512240266214
0.051000000000000004,32.001892278019724
0.051100000000000007,31.95736890659354
0.0512,31.95312002655741
0.051300000000000005,31.92640706259781
0.0514,31.9063701629665
0.051500000000000004,31.88004688267928
0.05160000000000001,31.873527580428984
0.0517,31.831823353578034
0.051800000000000006,31.80235293242124
0.0519,31.774229075275365
0.052000000000000005,31.756980913686327
0.05210000000000001,31.740064635818616
0.0522,31.70345879080374
0.052300000000000006,31.700683689522325
0.0524,31.687715569104164
0.052500000000000005,31.669956303942147
0.05260000000000001,31.649585786573322
0.052700000000000004,31.6405926153151
0.05280000000000001,31.63286026864104
0.0529,31.61553011422995
0.053000000000000005,31.592746771392196
0.05310000000000001,31.57641220343541
0.053200000000000004,31.57132913194429
0.05330000000000001,31.55421640135898
0.0534,31.526798347488267
0.053500000000000006,31.506830357144295
0.05360000000000001,31.48374956822039
0.053700000000000005,31.459095051670403
0.05380000000000001,31.443910907114983
0.0539,31.429819158703857
0.054000000000000006,31.418186205021794
0.05410000000000001,31.399839553260595
0.054200000000000005,31.384388169946618
0.05430000000000001,31.378536397284055
0.054400000000000004,31.362226491437205
0.05450000000000001,31.33790787366883
0.05460000000000001,31.306467066607947
0.054700000000000006,31.29347232224655
0.05480000000000001,31.271661789243787
0.054900000000000004,31.261322135527585
0.05500000000000001,31.249616763755288
0.05510000000000001,31.204992399769537
0.055200000000000006,31.19081544885127
0.05530000000000001,31.18014584945594
0.055400000000000005,31.165548733423428
0.05550000000000001,31.148641799121304
0.05560000000000001,31.140499251878097
0.055700000000000006,31.120779314673968
0.05580000000000001,31.112699694477016
0.055900000000000005,31.08217820489178
0.05600000000000001,31.059316871827992
0.05610000000000001,31.047636124049376
0.05620000000000001,31.039562427519517
0.056299999999999996,31.01305396565277
0.0434,33.35744096487846
0.043500000000000004,33.322750092116934
0.0436,33.294773171011265
0.0437,33.27932740591458
0.043800000000000006,33.272979762927726
0.0439,33.256515753113774
0.044000000000000004,33.22066880751236
0.0441,33.213462853216285
0.0442,33.19507603034446
0.044300000000000006,33.17979055374021
0.0444,33.1774940945844
0.044500000000000005,33.16582873544715
0.0446,33.14366533575311
0.044700000000000004,33.129947766875866
0.044800000000000006,33.10438923933961
0.0449,33.086182174600815
0.045000000000000005,33.06025737619113
0.0451,33.04865299404894
0.045200000000000004,33.02172088795434
0.04530000000000001,33.00597763566753
0.0454,32.971245145290176
0.045500000000000006,32.97433125446102
0.0456,32.94903564539503
0.045700000000000005,32.93939230302624
0.04580000000000001,32.92653281672332
0.0459,32.914955156962606
0.046000000000000006,32.903137402089506
0.0461,32.879696026624174
0.046200000000000005,32.85450383917779
0.04630000000000001,32.827995745047694
0.046400000000000004,32.790588590174906
0.04650000000000001,32.768795233187525
0.0466,32.74969169302754
0.046700000000000005,32.73770971989103
0.04680000000000001,32.71936829724344
0.0469,32.702564632397994
0.047,32.682026585579294
0.0471,32.65624273304418
0.0472,32.63445322675152
0.0473,32.608989802617856
0.0474,32.5986023093473
0.0475,32.58647546085331
0.0476,32.568477809761724
0.0477,32.55065918191366
0.0478,32.540473985314655
0.0479,32.5227241623986
0.048,32.493373912169204
0.048100000000000004,32.47960663919716
0.0482,32.46921924634511
0.0483,32.45503620914274
0.0484,32.413753519431836
0.0485,32.40848171226425
