"Presentation Grid: Direction [0,1,0] (m)","Presentation Grid: Static Pressure (Pa)"
2.0E-5,205.44630353699904
2.0E-5,204.8514108916861
2.0E-5,204.36222126655048
2.0E-5,203.870443654494
2.0E-5,203.28695737448288
2.0E-5,202.63244666327955
2.0E-5,202.1376828776265
2.0E-5,201.58330269830185
2.0E-5,201.0058512946125
2.0E-5,200.49101676073042
2.0E-5,200.06321411365934
2.0E-5,199.52969128959376
2.0E-5,198.85738050717555
2.0E-5,198.31077633950918
2.0E-5,197.87726414650388
2.0E-5,197.30977728746075
2.0E-5,196.71909115463495
2.0E-5,196.19066696224036
2.0E-5,195.62501097950735
2.0E-5,195.1665770696709
2.0E-5,194.6749718617648
2.0E-5,193.99350982537726
2.0E-5,193.46139856812079
2.0E-5,192.97489083500113
2.0E-5,192.48205109499395
2.0E-5,191.97950476508413
2.0E-5,191.41160382058297
2.0E-5,190.9124412340825
2.0E-5,190.41750808718643
2.0E-5,189.7517512399354
2.0E-5,189.25538210854575
2.0E-5,188.6617012092902
2.0E-5,188.16815159421822
2.0E-5,187.72117006182089
2.0E-5,187.27668225494563
2.0E-5,186.73315703723347
2.0E-5,186.09091766537313
2.0E-5,185.57203254732303
2.0E-5,185.15463702345733
2.0E-5,184.63581749331206
2.0E-5,184.01200774218887
2.0E-5,183.3749470259645
2.0E-5,182.9264003210701
2.0E-5,182.43618214435992
2.0E-5,181.89631350152194
2.0E-5,181.40450532050454
2.0E-5,180.8699520828959
2.0E-5,180.34262298673275
2.0E-5,179.9254098231031
2.0E-5,179.39052006424754
2.0E-5,178.70526820921805
2.0E-5,178.2396052654658
2.0E-5,177.73250684785307
2.0E-5,177.21084567296202
2.0E-5,176.60611061973032
2.0E-5,176.1487041876535
2.0E-5,175.6572324050212
2.0E-5,175.0912971435755
2.0E-5,174.57195412825968
2.0E-5,174.07039034528134
2.0E-5,173.51478887071426
2.0E-5,173.09002343519387
2.0E-5,172.60615265772503
2.0E-5,172.00322500376205
2.0E-5,171.56599975012068
2.0E-5,171.09485528552977
2.0E-5,170.56402990015613
4.0E-5,241.18034080474172
4.0E-5,240.57764846959617
4.0E-5,239.9716295893304
4.0E-5,239.47619693051092
4.0E-5,238.61569384954055
