"Presentation Grid: Direction [0,1,0] (m)","Presentation Grid: Density (kg/m^3)"
0.0,0.25022947788238525
0.0,0.2503734230995178
0.0,0.25050896406173706
0.0,0.2506118714809418
0.0,0.2507156729698181
0.0,0.25084418058395386
0.0,0.2509750723838806
0.0,0.251079797744751
0.0,0.2512105405330658
0.0,0.2513176500797272
0.0,0.2514171898365021
0.0,0.2515420615673065
0.0,0.2516951858997345
0.0,0.2518143355846405
0.0,0.2519359588623047
0.0,0.2520698606967926
0.0,0.2522125542163849
0.0,0.25232404470443726
0.0,0.252423495054245
0.0,0.2525566518306732
0.0,0.2527307868003845
0.0,0.25280991196632385
0.0,0.25292131304740906
0.0,0.25305020809173584
0.0,0.25316375494003296
0.0,0.2532775104045868
0.0,0.25340190529823303
0.0,0.2535320520401001
0.0,0.25368571281433105
0.0,0.2538350522518158
0.0,0.2539772093296051
0.0,0.25409868359565735
0.0,0.25422701239585876
0.0,0.25434860587120056
0.0,0.2544672191143036
0.0,0.2545931041240692
0.0,0.25473231077194214
0.0,0.2548666000366211
0.0,0.25500020384788513
0.0,0.25513601303100586
0.0,0.2552303969860077
0.0,0.2553374469280243
0.0,0.25547176599502563
0.0,0.25560370087623596
0.0,0.25571566820144653
0.0,0.25584837794303894
0.0,0.2559913098812103
0.0,0.25611642003059387
0.0,0.2562391459941864
0.0,0.25636062026023865
0.0,0.2565349340438843
0.0,0.256637841463089
0.0,0.2567586898803711
0.0,0.25690653920173645
0.0,0.25703540444374084
0.0,0.2571498453617096
0.0,0.25726842880249023
0.0,0.2574128210544586
0.0,0.2575559616088867
0.0,0.2576768696308136
0.0,0.257799357175827
0.0,0.2579271197319031
0.0,0.25806185603141785
0.0,0.25821661949157715
0.0,0.25832757353782654
0.0,0.2584436535835266
0.0,0.25857430696487427
0.0,0.25869491696357727
0.0,0.25882941484451294
0.0,0.2589690387248993
0.0,0.25911176204681396
0.0,0.2592453956604004
0.0,0.25935834646224976
0.0,0.25947093963623047
0.0,0.25961068272590637
0.0,0.2597971260547638
0.0,0.2599015235900879
0.0,0.26005446910858154
0.0,0.26018720865249634
0.0,0.2603382170200348
0.0,0.2604701519012451
0.0,0.2606280446052551
0.0,0.2607344686985016
0.0,0.2609024941921234
0.0,0.26106274127960205
0.0,0.2612019181251526
0.0,0.2613295614719391
0.0,0.2614510953426361
0.0,0.26162412762641907
0.0,0.2617226541042328
0.0,0.2618483901023865
0.0,0.26199132204055786
0.0,0.26214542984962463
0.0,0.2622664272785187
0.0,0.2623807191848755
0.0,0.26251333951950073
0.0,0.2626524865627289
0.0,0.2627768814563751
0.0,0.26290425658226013
0.0,0.263052374124527
0.0,0.2631966471672058
0.0,0.26332756876945496
0.0,0.2634706497192383
0.0,0.2636461555957794
0.0,0.2637844383716583
0.0,0.2639014422893524
0.0,0.2640303075313568
0.0,0.26417484879493713
0.0,0.26431551575660706
0.0,0.2644381523132324
0.0,0.2645656168460846
0.0,0.26470404863357544
0.0,0.26488837599754333
0.0,0.2650168240070343
0.0,0.26516222953796387
0.0,0.2652902901172638
0.0,0.2654213607311249
0.0,0.2656184136867523
0.0,0.2657458484172821
0.0,0.2658836245536804
0.0,0.2660256326198578
0.0,0.26616716384887695
0.0,0.2662883400917053
0.0,0.2664516270160675
0.0,0.2665696144104004
0.0,0.2667261064052582
0.0,0.266886442899704
0.0,0.2669998109340668
0.0,0.2671229839324951
0.0,0.26728755235671997
2.0E-5,0.25022947788238525
2.0E-5,0.2503734230995178
2.0E-5,0.25050896406173706
2.0E-5,0.2506118714809418
2.0E-5,0.2507156729698181
2.0E-5,0.25084418058395386
2.0E-5,0.2509750723838806
2.0E-5,0.251079797744751
2.0E-5,0.2512105405330658
2.0E-5,0.2513176500797272
2.0E-5,0.2514171898365021
2.0E-5,0.2515420615673065
2.0E-5,0.2516951858997345
2.0E-5,0.2518143355846405
2.0E-5,0.2519359588623047
2.0E-5,0.2520698606967926
2.0E-5,0.2522125542163849
2.0E-5,0.25232404470443726
2.0E-5,0.252423495054245
2.0E-5,0.2525566518306732
2.0E-5,0.2527307868003845
2.0E-5,0.25280991196632385
2.0E-5,0.25292131304740906
2.0E-5,0.25305020809173584
2.0E-5,0.25316375494003296
2.0E-5,0.2532775104045868
2.0E-5,0.25340190529823303
2.0E-5,0.2535320520401001
2.0E-5,0.25368571281433105
2.0E-5,0.2538350522518158
2.0E-5,0.2539772093296051
2.0E-5,0.25409868359565735
2.0E-5,0.25422701239585876
2.0E-5,0.25434860587120056
2.0E-5,0.2544672191143036
2.0E-5,0.2545931041240692
2.0E-5,0.25473231077194214
2.0E-5,0.2548666000366211
2.0E-5,0.25500020384788513
2.0E-5,0.25513601303100586
2.0E-5,0.2552303969860077
2.0E-5,0.2553374469280243
2.0E-5,0.25547176599502563
2.0E-5,0.25560370087623596
2.0E-5,0.25571566820144653
2.0E-5,0.25584837794303894
2.0E-5,0.2559913098812103
2.0E-5,0.25611642003059387
2.0E-5,0.2562391459941864
2.0E-5,0.25636062026023865
2.0E-5,0.2565349340438843
2.0E-5,0.256637841463089
2.0E-5,0.2567586898803711
2.0E-5,0.25690653920173645
2.0E-5,0.25703540444374084
2.0E-5,0.2571498453617096
2.0E-5,0.25726842880249023
2.0E-5,0.2574128210544586
2.0E-5,0.2575559616088867
2.0E-5,0.2576768696308136
2.0E-5,0.257799357175827
2.0E-5,0.2579271197319031
2.0E-5,0.25806185603141785
2.0E-5,0.25821661949157715
2.0E-5,0.25832757353782654
2.0E-5,0.2584436535835266
2.0E-5,0.25857430696487427
2.0E-5,0.25869491696357727
2.0E-5,0.25882941484451294
2.0E-5,0.2589690387248993
2.0E-5,0.25911176204681396
2.0E-5,0.2592453956604004
2.0E-5,0.25935834646224976
2.0E-5,0.25947093963623047
2.0E-5,0.25961068272590637
2.0E-5,0.2597971260547638
2.0E-5,0.2599015235900879
2.0E-5,0.26005446910858154
2.0E-5,0.26018720865249634
2.0E-5,0.2603382170200348
2.0E-5,0.2604701519012451
2.0E-5,0.2606280446052551
2.0E-5,0.2607344686985016
2.0E-5,0.2609024941921234
2.0E-5,0.26106274127960205
2.0E-5,0.2612019181251526
2.0E-5,0.2613295614719391
2.0E-5,0.2614510953426361
2.0E-5,0.26162412762641907
2.0E-5,0.2617226541042328
2.0E-5,0.2618483901023865
2.0E-5,0.26199132204055786
2.0E-5,0.26214542984962463
2.0E-5,0.2622664272785187
2.0E-5,0.2623807191848755
2.0E-5,0.26251333951950073
2.0E-5,0.2626524865627289
2.0E-5,0.2627768814563751
2.0E-5,0.26290425658226013
2.0E-5,0.263052374124527
2.0E-5,0.2631966471672058
2.0E-5,0.26332756876945496
2.0E-5,0.2634706497192383
2.0E-5,0.2636461555957794
2.0E-5,0.2637844383716583
2.0E-5,0.2639014422893524
2.0E-5,0.2640303075313568
2.0E-5,0.26417484879493713
2.0E-5,0.26431551575660706
2.0E-5,0.2644381523132324
2.0E-5,0.2645656168460846
2.0E-5,0.26470404863357544
2.0E-5,0.26488837599754333
2.0E-5,0.2650168240070343
2.0E-5,0.26516222953796387
2.0E-5,0.2652902901172638
2.0E-5,0.2654213607311249
2.0E-5,0.2656184136867523
2.0E-5,0.2657458484172821
2.0E-5,0.2658836245536804
2.0E-5,0.2660256326198578
2.0E-5,0.26616716384887695
2.0E-5,0.2662883400917053
2.0E-5,0.2664516270160675
2.0E-5,0.2665696144104004
2.0E-5,0.2667261064052582
2.0E-5,0.266886442899704
2.0E-5,0.2669998109340668
2.0E-5,0.2671229839324951
2.0E-5,0.26728755235671997
4.0E-5,0.25022947788238525
4.0E-5,0.2503734230995178
4.0E-5,0.25050896406173706
4.0E-5,0.2506118714809418
4.0E-5,0.2508472502231598
4.0E-5,0.25084418058395386
4.0E-5,0.2509750723838806
4.0E-5,0.251079797744751
4.0E-5,0.2512105405330658
4.0E-5,0.2513176500797272
4.0E-5,0.25160300731658936
4.0E-5,0.2515420615673065
4.0E-5,0.2516951858997345
4.0E-5,0.2519301474094391
4.0E-5,0.2519359588623047
4.0E-5,0.252204567193985
4.0E-5,0.2523241937160492
4.0E-5,0.25246766209602356
4.0E-5,0.252423495054245
4.0E-5,0.2525566518306732
4.0E-5,0.2527307868003845
4.0E-5,0.2530106008052826
4.0E-5,0.25292131304740906
4.0E-5,0.25305020809173584
4.0E-5,0.25316375494003296
4.0E-5,0.2532775104045868
4.0E-5,0.25340190529823303
4.0E-5,0.2535320520401001
4.0E-5,0.25368571281433105
4.0E-5,0.2538350522518158
4.0E-5,0.2539772093296051
4.0E-5,0.25409868359565735
4.0E-5,0.25422701239585876
4.0E-5,0.25434860587120056
4.0E-5,0.2544672191143036
4.0E-5,0.2545931041240692
4.0E-5,0.25473231077194214
4.0E-5,0.2548666000366211
4.0E-5,0.25500020384788513
4.0E-5,0.25513601303100586
4.0E-5,0.2552303969860077
4.0E-5,0.2553815543651581
4.0E-5,0.25547176599502563
4.0E-5,0.25560370087623596
4.0E-5,0.25571566820144653
4.0E-5,0.25584837794303894
4.0E-5,0.2559913098812103
4.0E-5,0.25611642003059387
4.0E-5,0.2562391459941864
4.0E-5,0.25636062026023865
4.0E-5,0.2565349340438843
4.0E-5,0.256637841463089
4.0E-5,0.256798654794693
4.0E-5,0.25690653920173645
4.0E-5,0.25703540444374084
4.0E-5,0.2571498453617096
4.0E-5,0.25733432173728943
4.0E-5,0.2574128210544586
4.0E-5,0.2575559616088867
4.0E-5,0.2576768696308136
4.0E-5,0.257799357175827
4.0E-5,0.2579271197319031
4.0E-5,0.25806185603141785
4.0E-5,0.25821661949157715
4.0E-5,0.258530855178833
4.0E-5,0.2584436535835266
4.0E-5,0.25857430696487427
4.0E-5,0.25869491696357727
4.0E-5,0.25882941484451294
4.0E-5,0.2589690387248993
4.0E-5,0.25911176204681396
4.0E-5,0.2592453956604004
4.0E-5,0.2595271170139313
4.0E-5,0.25947093963623047
4.0E-5,0.25961068272590637
4.0E-5,0.2597971260547638
4.0E-5,0.2600519061088562
4.0E-5,0.26005446910858154
4.0E-5,0.26018720865249634
4.0E-5,0.2603382170200348
4.0E-5,0.2604701519012451
4.0E-5,0.2606280446052551
4.0E-5,0.2608686685562134
4.0E-5,0.2609024941921234
4.0E-5,0.26106274127960205
4.0E-5,0.2612019181251526
4.0E-5,0.2613295614719391
4.0E-5,0.2614510953426361
4.0E-5,0.26162412762641907
4.0E-5,0.2617226541042328
4.0E-5,0.2618483901023865
4.0E-5,0.26199132204055786
4.0E-5,0.26214542984962463
4.0E-5,0.2622664272785187
4.0E-5,0.26251596212387085
4.0E-5,0.2625579535961151
4.0E-5,0.2626524865627289
4.0E-5,0.2627768814563751
4.0E-5,0.26290425658226013
4.0E-5,0.263052374124527
4.0E-5,0.2631966471672058
4.0E-5,0.26332756876945496
4.0E-5,0.2634706497192383
4.0E-5,0.2636461555957794
4.0E-5,0.2637844383716583
4.0E-5,0.2639014422893524
4.0E-5,0.2640303075313568
4.0E-5,0.26417484879493713
4.0E-5,0.26431551575660706
4.0E-5,0.2644381523132324
4.0E-5,0.26479601860046387
4.0E-5,0.26470404863357544
4.0E-5,0.26488837599754333
4.0E-5,0.2650168240070343
4.0E-5,0.26516222953796387
4.0E-5,0.2652902901172638
4.0E-5,0.2654213607311249
4.0E-5,0.2656184136867523
4.0E-5,0.2659071683883667
4.0E-5,0.2660234868526459
4.0E-5,0.2660256326198578
4.0E-5,0.26616716384887695
4.0E-5,0.2662883400917053
4.0E-5,0.2664516270160675
4.0E-5,0.2667296826839447
4.0E-5,0.2667261064052582
4.0E-5,0.266886442899704
4.0E-5,0.2669998109340668
4.0E-5,0.2671509385108948
4.0E-5,0.26728755235671997
6.0E-5,0.25040414929389954
6.0E-5,0.2505214214324951
6.0E-5,0.2503734230995178
6.0E-5,0.25068092346191406
6.0E-5,0.25085118412971497
6.0E-5,0.2508111596107483
6.0E-5,0.25112438201904297
6.0E-5,0.25126126408576965
6.0E-5,0.251270592212677
6.0E-5,0.2515502870082855
6.0E-5,0.25147488713264465
6.0E-5,0.25160300731658936
6.0E-5,0.2518474757671356
6.0E-5,0.25194182991981506
6.0E-5,0.2519301474094391
6.0E-5,0.2520723044872284
6.0E-5,0.252204567193985
6.0E-5,0.2523241937160492
6.0E-5,0.25246766209602356
6.0E-5,0.2526779770851135
6.0E-5,0.2528606355190277
6.0E-5,0.2527307868003845
6.0E-5,0.2530106008052826
6.0E-5,0.2531244456768036
6.0E-5,0.2532752752304077
6.0E-5,0.25336629152297974
6.0E-5,0.2534758448600769
6.0E-5,0.2534758448600769
6.0E-5,0.25376957654953003
6.0E-5,0.25368571281433105
6.0E-5,0.25408822298049927
6.0E-5,0.2542297840118408
6.0E-5,0.25424283742904663
6.0E-5,0.25442859530448914
6.0E-5,0.25460296869277954
6.0E-5,0.2546354830265045
6.0E-5,0.25470513105392456
6.0E-5,0.2549537718296051
6.0E-5,0.25507843494415283
6.0E-5,0.25520795583724976
6.0E-5,0.25513601303100586
6.0E-5,0.2554335594177246
6.0E-5,0.25553348660469055
6.0E-5,0.2558196783065796
6.0E-5,0.25587448477745056
6.0E-5,0.25591933727264404
6.0E-5,0.2561507523059845
6.0E-5,0.2562842071056366
6.0E-5,0.2563484013080597
6.0E-5,0.25641441345214844
6.0E-5,0.2566281259059906
6.0E-5,0.2565349340438843
6.0E-5,0.25692129135131836
6.0E-5,0.2570335566997528
6.0E-5,0.2570335566997528
6.0E-5,0.25714272260665894
6.0E-5,0.2572685182094574
6.0E-5,0.25733432173728943
6.0E-5,0.257480263710022
6.0E-5,0.25792211294174194
6.0E-5,0.25792360305786133
6.0E-5,0.2580222487449646
6.0E-5,0.25809386372566223
6.0E-5,0.25832825899124146
6.0E-5,0.25821661949157715
6.0E-5,0.258530855178833
6.0E-5,0.25870436429977417
6.0E-5,0.25857430696487427
6.0E-5,0.2588592767715454
6.0E-5,0.2589528560638428
6.0E-5,0.2591302692890167
6.0E-5,0.25931116938591003
6.0E-5,0.2595377564430237
6.0E-5,0.2595271170139313
6.0E-5,0.25971466302871704
6.0E-5,0.2599082589149475
6.0E-5,0.2597971260547638
6.0E-5,0.2600519061088562
6.0E-5,0.2603493332862854
6.0E-5,0.2602963447570801
6.0E-5,0.26059991121292114
6.0E-5,0.26070913672447205
6.0E-5,0.2606280446052551
6.0E-5,0.2608686685562134
6.0E-5,0.2609024941921234
6.0E-5,0.26106274127960205
6.0E-5,0.2612019181251526
6.0E-5,0.2614463269710541
6.0E-5,0.26167675852775574
6.0E-5,0.26162412762641907
6.0E-5,0.26192665100097656
6.0E-5,0.2620885968208313
6.0E-5,0.26235294342041016
6.0E-5,0.26214542984962463
6.0E-5,0.2624589204788208
6.0E-5,0.26251596212387085
6.0E-5,0.2625579535961151
6.0E-5,0.26288866996765137
6.0E-5,0.2630009651184082
6.0E-5,0.26325446367263794
6.0E-5,0.2633975148200989
6.0E-5,0.26344186067581177
6.0E-5,0.26364460587501526
6.0E-5,0.2638150751590729
6.0E-5,0.2636461555957794
6.0E-5,0.26406851410865784
6.0E-5,0.26408419013023376
6.0E-5,0.26425841450691223
6.0E-5,0.26425841450691223
6.0E-5,0.264411985874176
6.0E-5,0.2646790146827698
6.0E-5,0.26479601860046387
6.0E-5,0.2649127244949341
6.0E-5,0.26488837599754333
6.0E-5,0.2650168240070343
6.0E-5,0.2653489112854004
6.0E-5,0.2654508650302887
6.0E-5,0.26570841670036316
6.0E-5,0.26593005657196045
6.0E-5,0.2659071683883667
6.0E-5,0.2660234868526459
6.0E-5,0.26616498827934265
6.0E-5,0.26630160212516785
6.0E-5,0.26642906665802
6.0E-5,0.2667352259159088
6.0E-5,0.2667296826839447
6.0E-5,0.26698723435401917
6.0E-5,0.26707834005355835
6.0E-5,0.2672547996044159
6.0E-5,0.2671509385108948
6.0E-5,0.26762980222702026
8.0E-5,0.25040414929389954
8.0E-5,0.2505214214324951
8.0E-5,0.2506466805934906
8.0E-5,0.25068092346191406
8.0E-5,0.25085118412971497
8.0E-5,0.2512202262878418
8.0E-5,0.25112438201904297
8.0E-5,0.25126126408576965
8.0E-5,0.251270592212677
8.0E-5,0.2515502870082855
8.0E-5,0.25147488713264465
8.0E-5,0.25160300731658936
8.0E-5,0.2518474757671356
8.0E-5,0.25194182991981506
8.0E-5,0.2519301474094391
8.0E-5,0.2520723044872284
