"Presentation Grid: Direction [0,1,0] (m)","Presentation Grid: Temperature (K)"
0.0,1325.715087890625
0.0,1324.9105224609375
0.0,1324.34228515625
0.0,1323.7254638671875
0.0,1322.9034423828125
2.0E-5,1414.0692138671875
2.0E-5,1413.247802734375
2.0E-5,1412.4747314453125
2.0E-5,1411.887939453125
2.0E-5,1411.294677734375
2.0E-5,1410.5628662109375
2.0E-5,1409.82080078125
2.0E-5,1409.224609375
2.0E-5,1408.4830322265625
2.0E-5,1407.8758544921875
2.0E-5,1407.3096923828125
2.0E-5,1406.60302734375
2.0E-5,1405.737060546875
2.0E-5,1405.0635986328125
2.0E-5,1404.3780517578125
2.0E-5,1403.623779296875
2.0E-5,1402.8206787109375
2.0E-5,1402.1944580078125
2.0E-5,1401.6358642578125
2.0E-5,1400.8883056640625
2.0E-5,1399.91259765625
2.0E-5,1399.4676513671875
2.0E-5,1398.8453369140625
2.0E-5,1398.1236572265625
2.0E-5,1397.488525390625
2.0E-5,1396.8533935546875
2.0E-5,1396.1597900390625
2.0E-5,1395.4354248046875
2.0E-5,1394.582275390625
2.0E-5,1393.7518310546875
2.0E-5,1392.9637451171875
2.0E-5,1392.2916259765625
2.0E-5,1391.581298828125
2.0E-5,1390.9073486328125
2.0E-5,1390.2510986328125
2.0E-5,1389.556640625
2.0E-5,1388.7889404296875
2.0E-5,1388.0491943359375
2.0E-5,1387.314697265625
2.0E-5,1386.56787109375
2.0E-5,1386.0484619140625
2.0E-5,1385.4605712890625
2.0E-5,1384.7252197265625
2.0E-5,1384.001953125
2.0E-5,1383.3870849609375
2.0E-5,1382.6619873046875
2.0E-5,1381.8831787109375
2.0E-5,1381.20068359375
2.0E-5,1380.53125
2.0E-5,1379.8699951171875
2.0E-5,1378.9246826171875
2.0E-5,1378.36328125
2.0E-5,1377.7071533203125
2.0E-5,1376.9071044921875
2.0E-5,1376.20947265625
2.0E-5,1375.589599609375
2.0E-5,1374.9482421875
2.0E-5,1374.168701171875
2.0E-5,1373.3978271484375
2.0E-5,1372.7454833984375
2.0E-5,1372.0859375
2.0E-5,1371.3990478515625
2.0E-5,1370.676025390625
2.0E-5,1369.8466796875
2.0E-5,1369.250244140625
2.0E-5,1368.62890625
2.0E-5,1367.9302978515625
2.0E-5,1367.284912109375
2.0E-5,1366.5655517578125
2.0E-5,1365.822265625
2.0E-5,1365.0625
2.0E-5,1364.35107421875
2.0E-5,1363.75
2.0E-5,1363.15234375
2.0E-5,1362.4114990234375
2.0E-5,1361.4248046875
2.0E-5,1360.87060546875
2.0E-5,1360.0640869140625
2.0E-5,1359.3629150390625
2.0E-5,1358.5665283203125
2.0E-5,1357.871337890625
2.0E-5,1357.041259765625
2.0E-5,1356.48095703125
2.0E-5,1355.600830078125
2.0E-5,1354.759765625
2.0E-5,1354.0306396484375
2.0E-5,1353.3629150390625
2.0E-5,1352.72705078125
2.0E-5,1351.825927734375
2.0E-5,1351.3094482421875
2.0E-5,1350.6536865234375
2.0E-5,1349.9105224609375
2.0E-5,1349.10791015625
2.0E-5,1348.47900390625
2.0E-5,1347.883544921875
2.0E-5,1347.1964111328125
2.0E-5,1346.476806640625
2.0E-5,1345.83349609375
2.0E-5,1345.1741943359375
2.0E-5,1344.407958984375
2.0E-5,1343.6640625
2.0E-5,1342.9906005859375
2.0E-5,1342.254638671875
2.0E-5,1341.3526611328125
2.0E-5,1340.6412353515625
2.0E-5,1340.0406494140625
2.0E-5,1339.380126953125
2.0E-5,1338.6400146484375
2.0E-5,1337.921142578125
2.0E-5,1337.2938232421875
2.0E-5,1336.6427001953125
2.0E-5,1335.93798828125
2.0E-5,1335.00146484375
2.0E-5,1334.345703125
2.0E-5,1333.60791015625
2.0E-5,1332.95751953125
2.0E-5,1332.2923583984375
2.0E-5,1331.2958984375
2.0E-5,1330.6514892578125
2.0E-5,1329.955322265625
2.0E-5,1329.2379150390625
2.0E-5,1328.5244140625
2.0E-5,1327.9132080078125
2.0E-5,1327.0924072265625
